,Player1,Player2,offensive harmony,defensive harmony,PH,Player1 ID,Player2 ID,Pl1 Offense,Pl2 Offense,Pl1 Defense,Pl2 Defense,total,skillOnly
101106-1626188,Andrew Bogut,Quinn Cook,0.053561615513694566,0.09259325279477905,0.14615486830847363,101106,1626188,0.2635163266924362,0.22954099561940333,0.07431068182384011,0.9004972495570133,1.6140201220011665,1.4678652536926928
101106-1627814,Andrew Bogut,Damion Lee,-0.04376173665479444,0.04545900163784088,0.0016972649830464398,101106,1627814,0.2635163266924362,-0.9779564356239537,0.07431068182384011,0.03533485597900429,-0.6030973061456266,-0.6047945711286731
101106-1628035,Andrew Bogut,Alfonzo McKinnie,0.05623998917127771,0.09604134639538198,0.15228133556665968,101106,1628035,0.2635163266924362,-0.7043870076237836,0.07431068182384011,0.2574995285255508,0.04322086498470318,-0.1090604705819565
101106-1628395,Andrew Bogut,Jordan Bell,0.01347983882696651,-0.150032714662659,-0.13655287583569248,101106,1628395,0.2635163266924362,-0.004235779143998751,0.07431068182384011,1.0546040289525123,1.2516423824890974,1.3881952583247898
101106-1628980,Andrew Bogut,Jacob Evans,0.0181301410082293,-0.018099165976224338,3.097503200496371e-05,101106,1628980,0.2635163266924362,-0.8620717285986843,0.07431068182384011,0.675385794565547,0.15117204951514393,0.15114107448313896
101106-201142,Andrew Bogut,Kevin Durant,0.4923826019796249,-0.24115352808316629,0.25122907389645865,101106,201142,0.2635163266924362,2.0596751743229533,0.07431068182384011,-0.5230759875812172,2.1256552691544712,1.8744261952580126
101106-201939,Andrew Bogut,Stephen Curry,0.2845652395766171,0.05664076340493082,0.3412060029815479,101106,201939,0.2635163266924362,2.583358897582981,0.07431068182384011,-0.5665427404068472,2.6958491686739583,2.3546431656924103
101106-201973,Andrew Bogut,Jonas Jerebko,-0.04509215791865084,0.08371170144571118,0.03861954352706034,101106,201973,0.2635163266924362,0.3212567939861243,0.07431068182384011,-0.8149142452795096,-0.11721089925004866,-0.155830442777109
101106-202691,Andrew Bogut,Klay Thompson,0.24601623738725137,-0.5233528895252936,-0.2773366521380422,101106,202691,0.2635163266924362,0.5198057715999179,0.07431068182384011,-0.06813483240997507,0.5121612955681769,0.7894979477062192
101106-203110,Andrew Bogut,Draymond Green,0.19910269799748775,0.03902913507973733,0.23813183307722507,101106,203110,0.2635163266924362,0.8870447026630157,0.07431068182384011,-1.5786823513299442,-0.11567880707342715,-0.3538106401506522
101107-101141,Marvin Williams,Ersan Ilyasova,0.2898782486015098,0.08131666294311209,0.37119491154462186,101107,101141,-0.003734133925333057,1.2649223330277863,-0.0810928181013305,-0.28222976052625237,1.2690605320194923,0.8978656204748704
101107-1626163,Marvin Williams,Frank Kaminsky,0.3186708986036688,-0.20325301204636384,0.11541788655730498,101107,1626163,-0.003734133925333057,0.0641482649261312,-0.0810928181013305,-0.416871745982385,-0.3221325465256124,-0.4375504330829174
101107-1626179,Marvin Williams,Terry Rozier,-0.6545930563902842,0.16323042666856155,-0.4913626297217226,101107,1626179,-0.003734133925333057,-1.8079727961738719,-0.0810928181013305,-0.04550347651004598,-2.429665854432304,-1.9383032247105814
101107-1626192,Marvin Williams,Pat Connaughton,0.7177036129839377,-0.2555134961060046,0.4621901168779331,101107,1626192,-0.003734133925333057,0.3824118679556481,-0.0810928181013305,0.49456190946479067,1.254336942271708,0.7921468253937751
101107-1626195,Marvin Williams,Willy Hernangomez,-0.9182366315002567,-0.8485386779051748,-1.7667753094054315,101107,1626195,-0.003734133925333057,0.7637675629057361,-0.0810928181013305,0.43537024570499383,-0.652464452821365,1.1143108565840665
101107-1628370,Marvin Williams,Malik Monk,0.20860299737285884,2.165191890703892,2.373794888076751,101107,1628370,-0.003734133925333057,-0.38555788616607123,-0.0810928181013305,0.4559646142119618,2.359374664095978,-0.014420223980772973
101107-1628391,Marvin Williams,D.J. Wilson,0.11061858836066193,-0.017614078220948712,0.09300451013971323,101107,1628391,-0.003734133925333057,-0.20831906419555296,-0.0810928181013305,-0.38412750315660527,-0.5842690092391085,-0.6772735193788217
101107-1628407,Marvin Williams,Dwayne Bacon,0.9013537655657371,-0.1499522230719283,0.7514015424938087,101107,1628407,-0.003734133925333057,-0.18186610258550817,-0.0810928181013305,0.24559810607293173,0.7303065939545688,-0.021094948539240016
101107-1628412,Marvin Williams,Frank Mason,-0.09034601642852919,0.08783589446772049,-0.0025101219608087005,101107,1628412,-0.003734133925333057,-1.625682324217016,-0.0810928181013305,0.7300710199957209,-0.9829483782087673,-0.9804382562479587
101107-1628425,Marvin Williams,Sterling Brown,-0.016060222337252326,0.48004824155785875,0.4639880192206064,101107,1628425,-0.003734133925333057,-1.0927491565548553,-0.0810928181013305,-0.19967255738020726,-0.9132606467411196,-1.377248665961726
101107-1628970,Marvin Williams,Miles Bridges,0.3521502635995743,0.045836579613200965,0.3979868432127753,101107,1628970,-0.003734133925333057,-0.36086926130392466,-0.0810928181013305,1.16777861460833,1.1200692444905171,0.7220824012777418
101107-1628978,Marvin Williams,Donte DiVincenzo,0.00830826065881087,-0.4811481268405386,-0.47283986618172774,101107,1628978,-0.003734133925333057,0.2779059703763863,-0.0810928181013305,-1.2056823438068156,-1.4854431916388204,-1.0126033254570928
101107-1628984,Marvin Williams,Devonte' Graham,-1.4621040319639604,0.013282492607802501,-1.4488215393561579,101107,1628984,-0.003734133925333057,-0.29250878126189134,-0.0810928181013305,-0.3664852258484569,-2.1926424984931696,-0.7438209591370117
101107-1628997,Marvin Williams,Caleb Martin,-0.594255646821338,0.021363473343138456,-0.5728921734781995,101107,1628997,-0.003734133925333057,0.6114610331295882,-0.0810928181013305,-0.6401480524750844,-0.6864061448503593,-0.1135139713721598
101107-1628998,Marvin Williams,Cody Martin,-0.9089531718513107,1.0286330615281696,0.11967988967685883,101107,1628998,-0.003734133925333057,0.29613749994809657,-0.0810928181013305,-0.6390141024508831,-0.30802366485259125,-0.4277035545294501
101107-1629023,Marvin Williams,P.J. Washington,0.05906788059161135,-1.0217924229028914,-0.96272454231128,101107,1629023,-0.003734133925333057,0.2620973191954972,-0.0810928181013305,-0.1924029390098822,-0.9778571141523286,-0.015132571841048548
101107-201572,Marvin Williams,Brook Lopez,-0.013783498557591726,-0.31589057923204833,-0.32967407778964003,101107,201572,-0.003734133925333057,2.07430300860235,-0.0810928181013305,-0.6040134863208585,1.0557884924651877,1.3854625702548278
101107-201577,Marvin Williams,Robin Lopez,-0.4025002488610376,-0.18625616362375963,-0.5887564124847973,101107,201577,-0.003734133925333057,0.43250691659825047,-0.0810928181013305,0.1058779018896124,-0.135198546023598,0.4535578664611993
101107-201587,Marvin Williams,Nicolas Batum,0.33338730844237924,0.2235705009560388,0.556957809398418,101107,201587,-0.003734133925333057,0.28472660442981373,-0.0810928181013305,-0.42632342205635326,0.3305340397452149,-0.2264237696532031
101107-201588,Marvin Williams,George Hill,0.20163626568196946,-0.3035552022534136,-0.10191893657144413,101107,201588,-0.003734133925333057,1.1922655259010437,-0.0810928181013305,-1.213446539657682,-0.20792690235474587,-0.10600796578330174
101107-202083,Marvin Williams,Wesley Matthews,-0.47214937144181873,0.07196154927320111,-0.4001878221686176,101107,202083,-0.003734133925333057,-0.2361040194915771,-0.0810928181013305,-0.8663432204751315,-1.5874620141619897,-1.1872741919933723
101107-202339,Marvin Williams,Eric Bledsoe,0.5025555033131696,-0.20630751581877838,0.2962479874943912,101107,202339,-0.003734133925333057,0.98128743067857,-0.0810928181013305,-1.0346448977903244,0.15806356835597324,-0.13818441913841795
101107-202687,Marvin Williams,Bismack Biyombo,-0.6688043775969087,-0.32294608900796207,-0.9917504666048708,101107,202687,-0.003734133925333057,-1.0440041597450194,-0.0810928181013305,0.6035293791284487,-1.517052199248105,-0.5253017326432342
101107-202689,Marvin Williams,Kemba Walker,-0.632239280750417,0.04052433236481818,-0.5917149483855988,101107,202689,-0.003734133925333057,2.1619405758692363,-0.0810928181013305,-0.41686412216266255,1.0685345532943116,1.6602495016799104
101107-202714,Marvin Williams,Shelvin Mack,0.17691843558745535,0.029892186059863976,0.20681062164731934,101107,202714,-0.003734133925333057,0.06529176132482285,-0.0810928181013305,0.08088169514948489,0.2681571260949635,0.06134650444764418
101107-203077,Marvin Williams,Michael Kidd-Gilchrist,0.5111005157175919,0.7514831374955542,1.262583653213146,101107,203077,-0.003734133925333057,-0.49647326790134927,-0.0810928181013305,-1.3476860580164245,-0.6664026247312913,-1.9289862779444373
101107-203087,Marvin Williams,Jeremy Lamb,0.29324570147723555,-0.12250074208859166,0.1707449593886439,101107,203087,-0.003734133925333057,0.9683578537361701,-0.0810928181013305,0.2687831240865285,1.323058985184679,1.1523140257960351
101107-203114,Marvin Williams,Khris Middleton,0.70480552807593,-0.02042505457333345,0.6843804735025966,101107,203114,-0.003734133925333057,1.0790550527539307,-0.0810928181013305,-1.356229968314542,0.32237860591532164,-0.36200186758727493
101107-203469,Marvin Williams,Cody Zeller,1.2669160551562044,0.015543462984180259,1.2824595181403846,101107,203469,-0.003734133925333057,1.163765759845146,-0.0810928181013305,0.28294903480889383,2.6443473607677612,1.3618878426273764
101107-203507,Marvin Williams,Giannis Antetokounmpo,0.4687440654185645,-0.23613112252939486,0.23261294288916964,101107,203507,-0.003734133925333057,1.617944993180276,-0.0810928181013305,-2.3023621986597034,-0.5366312146169212,-0.7692441575060909
101108-101123,Chris Paul,Gerald Green,-0.3016991979394453,0.5445700843774612,0.24287088643801596,101108,101123,2.254728623103989,1.1467049341635576,-1.839649741693271,0.5874587386089537,2.392113440621245,2.149242554183229
101108-1627737,Chris Paul,Marquese Chriss,-0.1975969758886641,0.0012907488344262145,-0.1963062270542379,101108,1627737,2.254728623103989,-1.2647659423840913,-1.839649741693271,1.7566554385408506,0.7106621505132393,0.9069683775674773
101108-1627846,Chris Paul,Abdel Nader,1.134941203448491,0.1929123468267789,1.3278535502752697,101108,1627846,2.254728623103989,-1.0625791906400166,-1.839649741693271,0.2779803261933929,0.958333567239364,-0.36951998303590566
101108-1627863,Chris Paul,Danuel House Jr.,2.398003980225922,0.2607134646580235,2.6587174448839455,101108,1627863,2.254728623103989,2.2970935562756702,-1.839649741693271,0.32338492958136944,5.694274812151703,3.035557367267758
