,PTS/100,isHome,possession_diff,time,startsBall,offence1,offence2,offence3,offence4,offence5,defence1,defence2,defence3,defence4,defence5
0,116.66666666666667,1.0,0.0,156.0,0.0,202329.0,203086.0,203486.0,203468.0,203081.0,201967.0,203076.0,2570.0,201569.0,201950.0
1,28.57142857142857,0.0,0.0,156.0,1.0,201967.0,203076.0,2570.0,201569.0,201950.0,202329.0,203086.0,203486.0,203468.0,203081.0
2,166.66666666666669,1.0,0.0,155.0,0.0,202329.0,203086.0,203486.0,203468.0,203081.0,203076.0,2570.0,201569.0,201950.0,202087.0
3,100.0,0.0,0.0,155.0,1.0,203076.0,2570.0,201569.0,201950.0,202087.0,202329.0,203086.0,203486.0,203468.0,203081.0
4,66.66666666666666,1.0,0.0,36.0,0.0,202329.0,203086.0,203486.0,203468.0,203081.0,203076.0,201569.0,202087.0,201583.0,202397.0
5,0.0,0.0,0.0,36.0,1.0,203076.0,201569.0,202087.0,201583.0,202397.0,202329.0,203086.0,203486.0,203468.0,203081.0
6,66.66666666666666,1.0,0.0,31.0,1.0,202329.0,203086.0,203486.0,203081.0,203459.0,203076.0,201569.0,202087.0,201583.0,202397.0
7,0.0,0.0,0.0,31.0,0.0,203076.0,201569.0,202087.0,201583.0,202397.0,202329.0,203086.0,203486.0,203081.0,203459.0
8,100.0,1.0,0.0,42.0,1.0,202329.0,203086.0,203081.0,203459.0,202334.0,203076.0,201569.0,202087.0,201583.0,202397.0
9,0.0,0.0,0.0,42.0,0.0,203076.0,201569.0,202087.0,201583.0,202397.0,202329.0,203086.0,203081.0,203459.0,202334.0
10,66.66666666666666,1.0,0.0,56.0,0.0,203081.0,203459.0,202334.0,203943.0,203090.0,201569.0,202087.0,201583.0,202397.0,201582.0
11,66.66666666666666,0.0,0.0,56.0,1.0,201569.0,202087.0,201583.0,202397.0,201582.0,203081.0,203459.0,202334.0,203943.0,203090.0
12,125.0,1.0,0.0,87.0,1.0,203459.0,202334.0,203943.0,203090.0,203468.0,201569.0,202087.0,201583.0,202397.0,201582.0
13,75.0,0.0,0.0,87.0,0.0,201569.0,202087.0,201583.0,202397.0,201582.0,203459.0,202334.0,203943.0,203090.0,203468.0
14,180.0,1.0,0.0,152.0,0.0,203459.0,202334.0,203943.0,203090.0,203468.0,202087.0,201583.0,202397.0,201582.0,101126.0
15,100.0,0.0,0.0,152.0,1.0,202087.0,201583.0,202397.0,201582.0,101126.0,203459.0,202334.0,203943.0,203090.0,203468.0
16,0.0,1.0,0.0,69.0,0.0,203468.0,203459.0,202334.0,203943.0,203090.0,201583.0,202397.0,101126.0,203076.0,201967.0
17,60.0,0.0,0.0,69.0,1.0,201583.0,202397.0,101126.0,203076.0,201967.0,203468.0,203459.0,202334.0,203943.0,203090.0
18,80.0,1.0,0.0,129.0,0.0,203468.0,203459.0,202334.0,203090.0,203086.0,201583.0,202397.0,203076.0,201967.0,201569.0
